event_id,start_time,end_time,phase,case_id,event_type,tool,action_summary,reason_summary,expected_result,observed_result,exit_code,duration_s,evidence_path,human_intervention,decision_scope
E0012,2026-07-12T05:28:00+08:00,2026-07-12T05:30:00+08:00,anchor,A01_v2500_let15_y3p5,tuning_decision,codex,Restore original mesh ramp and create true Save,Recover from invalid restart while retaining physics,Create valid 2500 V restart and advance transient,True restart created; 8-thread run showed negative scaling,0,120,private A01 attempt03,false,within_plan
E0014,2026-07-12T05:30:00+08:00,2026-07-12T06:11:00+08:00,anchor,A01_v2500_let15_y3p5,run_closure,codex,Close and extract A01 attempt03,Preserve slow-run evidence without misclassification,Classify only from retained outputs,Reached 59.58 ns and Tmax 338.927 K; INDETERMINATE time_window_short,143,2460,private A01 attempt03,false,within_plan
E0015,2026-07-12T06:16:03.750+08:00,2026-07-12T06:16:03.750+08:00,anchor,A01_v2500_let15_y3p5,tuning_decision,codex,Load true restart and return to one thread,Remove repeated DC work and demonstrated parallel overhead,Start at valid 2500 V and improve progress rate,PENDING,NA,0,private A01 attempt04,false,within_plan
E0016,2026-07-12T06:16:20+08:00,NA,anchor,A01_v2500_let15_y3p5,run,sdevice,Run A01 attempt04,Execute solver-native restart with single-thread configuration,Reach 1 us or physical 2500 K break,RUNNING: Load accepted and pulse window crossed,NA,NA,private A01 attempt04,false,within_plan
E0017,2026-07-12T09:30:00+08:00,2026-07-12T09:37:14.117+08:00,midterm_check,A01_v2500_let15_y3p5,evidence_freeze,svisual/codex,Freeze live A01 PLT and compare with paper,Decide whether the stiff long run remains physically informative,Healthy 2500 V data and qualitative A01 anchor comparison,Input chain healthy but current trend mismatches paper; 78.304 ns Tmax 377.984 K and Ic 2.560e-3 A/um,0,434.117,06-中期检查报告.md,false,within_plan
E0018,2026-07-12T10:25:00+08:00,2026-07-12T10:29:01+08:00,anchor,A01_v2500_let15_y3p5,run_closure,sdevice,Freeze and normally interrupt stiff A01 attempt04,Stop an uninformative costly run while preserving reproducible outputs,Retain full artifacts and classify only from available time window,Interrupted after frozen copy; 81.933 ns Tmax 395.229 K Ic 3.172e-3 A/um peak power 7.931 W/um; 876 Newton retries; INDETERMINATE time_window_short_and_stiff,130,14461,private A01 attempt04,false,within_plan
E0019,NA,NA,segmented_baseline,A01_v2500_let15_y3p5,run_closure,sdevice,Build solver-native transient checkpoints,Eliminate repeated prefix runs and capture complete pulse evidence,Create 0.4/10/20/40ns restart states,Attempt05 created 0.4/10/20ns; attempt06 created 40ns in 523s,0,2323,private A01 attempts05-06,false,within_plan
E0020,NA,NA,input_audit,A01_v2500_let15_y3p5,evidence_freeze,svisual,Integrate full HeavyIon pulse,Verify LET charge before solver or physics tuning,Close 92-108ps charge within 5pct,8.067321pC vs 7.775pC; plus3.7598pct PASS,0,509,private A01 attempt11,false,within_plan
E0021,NA,NA,solver_benchmark,A01_v2500_let15_y3p5,run,sdevice,Run 40-60ns baseline A,Establish paired performance and physics reference,Complete 60ns with true restart continuity,Completed in 817s with 8 Newton retries,0,817,private A01 attempt07,false,within_plan
E0022,NA,NA,solver_benchmark,A01_v2500_let15_y3p5,run,sdevice,Run B1 with Iterations15,Test early step failure as acceleration strategy,At least10pct faster and within2pct physical difference,Completed in 1037s; within2pct physics but 26.9pct slower; rejected,0,1037,private A01 attempt08,false,within_plan
E0023,NA,NA,solver_benchmark,A01_v2500_let15_y3p5,run,sdevice,Run B2 with Increment1.2,Test conservative step growth after B1 retries,At least10pct faster with equivalent physics,Reached only51.746ns in1200s budget; rejected,124,1200,private A01 attempt09 B2,false,within_plan
E0024,NA,NA,solver_benchmark,A01_v2500_let15_y3p5,run,sdevice,Run B3 without transient Extrapolate,Test extrapolated initial guess in stiff feedback window,At least10pct faster with equivalent trend,Completed in749.94s with6 retries; only8.2pct faster; rejected,0,749.94,private A01 attempt10 B3,false,within_plan
E0025,NA,NA,solver_benchmark,A01_v2500_let15_y3p5,gate_close,codex,Close numerical acceleration gate,Select only variants meeting physics and performance thresholds,Choose an accepted 40-60ns solver configuration,No candidate met10pct gate; retain baseline A and proceed to physical sensitivity,0,NA,03-逐次运行记录.md,false,within_plan
E0026,2026-07-12T06:45:43+08:00,2026-07-12T07:05:43+08:00,mesh_sensitivity_dc_bias,A01_v2500_let15_y3p5,run_closure,sdevice,Run new-mesh normal DC ramp,Create a new-mesh 2500V true Save before transient sensitivity comparison,Reach 2500V with solver-native Save pair under 1200s single-thread budget,Timed out at last converged 22.17V and Tmax 300.013K; no Save pair; attempt13 blocked,124,1200,private attempt12 manifest,false,within_plan
E0027,2026-07-12T16:26:51.202+08:00,NA,mesh_sensitivity_dc_bias,A01_v2500_let15_y3p5,tuning_decision,codex,Segment new-mesh DC ramp with solver-native Saves,Preserve ramp progress after attempt12 exhausted its budget before any Save,Reach2500V or retain highest completed 100/500/1000/1500/2000V checkpoint,RUNNING,NA,NA,private attempt13,false,within_plan
E0028,NA,NA,mesh_sensitivity_dc_bias,A01_v2500_let15_y3p5,run_closure,sdevice,Close attempt13,Retain recoverable half-mesh progress,Highest valid checkpoint,500V Save; last718.7V; timeout,124,3600,private attempt13,false,within_plan
E0029,NA,NA,mesh_sensitivity_dc_bias,A01_v2500_let15_y3p5,run,sdevice,Continue from500V Save,Avoid rerunning completed bias,Reach2500V,Reached2500V with valid Save,0,3607,private attempt17,false,within_plan
E0030,NA,NA,mesh_sensitivity_transient,A01_v2500_let15_y3p5,run,sdevice,Run half-mesh to60ns,Close mesh comparison,Comparable states,Completed60ns,0,9193,data/a01_meshhalf_transient_comparison.csv,false,within_plan
E0031,NA,NA,mesh_sensitivity,A01_v2500_let15_y3p5,gate_close,codex,Close mesh gate,Separate trend from magnitude,Convergence decision,MESH_SENSITIVE; late current and avalanche diverged,0,NA,data/a01_diagnostic_gate_summary.csv,false,within_plan
E0032,NA,NA,wt_hi_sensitivity,A01_v2500_let15_y3p5,run,sdevice,Run Wt0.2um,Test undisclosed width,Bound trend,60ns current -18.61pct; still growing,0,2737,data/a01_wt_hi_sensitivity.csv,false,within_plan
E0033,NA,NA,wt_hi_charge_audit,A01_v2500_let15_y3p5,evidence_freeze,sdevice/svisual,Audit Wt0.2 charge,Exclude charge drift,Within5pct,8.112455pC; +4.340pct PASS,0,522,data/a01_wt_hi_sensitivity.csv,false,within_plan
E0034,NA,NA,wt_hi_sensitivity,A01_v2500_let15_y3p5,run,sdevice,Run Wt0.5um,Bound width range,Test trend reversal,Near Wt0.2 and still growing,0,3551,data/a01_wt_hi_sensitivity.csv,false,within_plan
E0035,NA,NA,wt_hi_charge_audit,A01_v2500_let15_y3p5,evidence_freeze,sdevice/svisual,Audit Wt0.5 charge,Exclude charge drift,Within5pct,8.131790pC; +4.589pct PASS,0,1198,data/a01_wt_hi_sensitivity.csv,false,within_plan
E0036,NA,NA,thermal_initial_state_dc,A01_v2500_let15_y3p5,run,sdevice,Create300K cold state,Separate initialization,Uniform300K at2500V,Validated300K cut,0,981,private attempt23,false,within_plan
E0037,NA,NA,thermal_initial_state_sensitivity,A01_v2500_let15_y3p5,run,sdevice,Run cold state to60ns,Test preheat cause,Weaker growth if causal,60ns current +6.89pct; still growing,0,3282,data/a01_thermal_initial_state_sensitivity.csv,false,within_plan
E0038,NA,NA,position_sensitivity,A01_v2500_let15_y3p5,run,sdevice,Run Y3.4um,Test local mapping,Bound response,60ns current -18.62pct; still growing,0,3093,data/a01_position_sensitivity.csv,false,within_plan
E0039,NA,NA,position_sensitivity,A01_v2500_let15_y3p5,run,sdevice,Run Y3.6um,Complete symmetric diagnostic,Bound response,60ns current -18.18pct; still growing,0,2423,data/a01_position_sensitivity.csv,false,within_plan
E0040,NA,NA,a01_gate_close,A01_v2500_let15_y3p5,gate_close,codex,Close A01 with separate fields,Prevent overclaim,Auditable closure,INDETERMINATE; ANCHOR_MISMATCH; MESH_SENSITIVE; A02 not entered,0,NA,data/a01_diagnostic_gate_summary.csv,false,within_plan
E0041,NA,NA,mesh_sensitivity_dc_benchmark,A01_v2500_let15_y3p5,run_closure,sdevice,Close one-thread half-mesh DC probe,Establish resource baseline under equal budget,Comparable converged trajectory,Reached0.3125V in300s; selected lowest resource,124,300,data/a01_meshhalf_dc_thread_benchmark.csv,false,within_plan
E0042,NA,NA,mesh_sensitivity_dc_benchmark,A01_v2500_let15_y3p5,run_closure,sdevice,Close two-thread half-mesh DC probe,Test parallel speedup under equal budget,At least10pct faster with equivalent trajectory,Reached same0.3125V in300s with higher CPU; rejected,124,300,data/a01_meshhalf_dc_thread_benchmark.csv,false,within_plan
E0043,NA,NA,mesh_sensitivity_dc_benchmark,A01_v2500_let15_y3p5,run_closure,sdevice,Close four-thread half-mesh DC probe,Test parallel speedup under equal budget,At least10pct faster with equivalent trajectory,Reached same0.3125V in300s with higher CPU; rejected,124,300,data/a01_meshhalf_dc_thread_benchmark.csv,false,within_plan
E0044,NA,NA,mesh_sensitivity_dc_benchmark,A01_v2500_let15_y3p5,gate_close,codex,Retain one-thread execution,Prevent negative parallel scaling from consuming bounded budget,Choose lowest-resource equivalent trajectory,One thread selected; two and four threads rejected,0,NA,data/a01_meshhalf_dc_thread_benchmark.csv,false,within_plan
